pair,trader,trade_type,link,screen_num,title,trade_action,sl,tp,status,ai_pair,entry_price,sl_price,tp_price,filename
natural_gas,Dakota,recalculate_sl,https://youtu.be/wyXr3Hax7KI&pp=0gcJCa0JAYcqIYzv?t=3875,1,LIVE__Slow_Markets_with_Coach_Dakota_Take_2_(3_13_25),sell,True,False,profit,,,,,
natural_gas,Dakota,closed,https://youtu.be/wyXr3Hax7KI&pp=0gcJCa0JAYcqIYzv?t=4185,1,LIVE__Slow_Markets_with_Coach_Dakota_Take_2_(3_13_25),unknown,False,False,loss,,,,,
natural_gas,Dakota,opened,https://youtu.be/wyXr3Hax7KI&pp=0gcJCa0JAYcqIYzv?t=4210,1,LIVE__Slow_Markets_with_Coach_Dakota_Take_2_(3_13_25),sell,True,False,loss,,,,,
US100,Dee,opened,https://youtu.be/TF5yzsVeuOc?t=495,1,LIVE__Euro_Trade_with_Deeyana_(6_16_25),sell,False,False,profit,,,,,
US100,Dee,recalculate_sl,https://youtu.be/TF5yzsVeuOc?t=500,1,LIVE__Euro_Trade_with_Deeyana_(6_16_25),sell,True,False,profit,,,,,
XTIUSD,Dee,opened,https://youtu.be/TF5yzsVeuOc?t=775,2,LIVE__Euro_Trade_with_Deeyana_(6_16_25),sell,True,False,profit,,,,,
XAUUSD,Dee,opened,https://youtu.be/TF5yzsVeuOc?t=785,2,LIVE__Euro_Trade_with_Deeyana_(6_16_25),sell,True,False,profit,,,,,
natural_gas,Dee,opened,https://youtu.be/TF5yzsVeuOc?t=1520,1,LIVE__Euro_Trade_with_Deeyana_(6_16_25),sell,True,False,profit,,,,,
US100,Dee,closed,https://youtu.be/TF5yzsVeuOc?t=2195,1,LIVE__Euro_Trade_with_Deeyana_(6_16_25),unknown,False,False,loss,,,,,
US100,Dee,opened,https://youtu.be/TF5yzsVeuOc?t=2250,1,LIVE__Euro_Trade_with_Deeyana_(6_16_25),sell,False,False,loss,,,,,
XAUUSD,Dee,closed,https://youtu.be/TF5yzsVeuOc?t=3570,1,LIVE__Euro_Trade_with_Deeyana_(6_16_25),unknown,False,False,loss,,,,,
US100,Dee,recalculate_sl,https://youtu.be/TF5yzsVeuOc?t=3905,2,LIVE__Euro_Trade_with_Deeyana_(6_16_25),sell,True,False,profit,,,,,
US500,Dee,opened,https://youtu.be/TF5yzsVeuOc?t=4990,2,LIVE__Euro_Trade_with_Deeyana_(6_16_25),buy,True,False,profit,,,,,
US100,Dee,update_tp,https://youtu.be/TF5yzsVeuOc?t=5050,1,LIVE__Euro_Trade_with_Deeyana_(6_16_25),sell,True,True,profit,,,,,
US500,Dee,update_tp,https://youtu.be/TF5yzsVeuOc?t=5075,2,LIVE__Euro_Trade_with_Deeyana_(6_16_25),sell,False,True,profit,,,,,
US100,Dee,closed,https://youtu.be/TF5yzsVeuOc?t=5460,2,LIVE__Euro_Trade_with_Deeyana_(6_16_25),unknown,False,False,loss,,,,,
XTIUSD,Dee,closed,https://youtu.be/TF5yzsVeuOc?t=5810,2,LIVE__Euro_Trade_with_Deeyana_(6_16_25),unknown,False,False,loss,,,,,
XAUUSD,Dee,opened,https://youtu.be/p5pgFuEAsx0?t=3845,1,LIVE__London_Open_with_Deeyana_(2_6_25),buy,True,False,loss,,,,,
XAUUSD,Dee,update_tp,https://youtu.be/p5pgFuEAsx0?t=3930,1,LIVE__London_Open_with_Deeyana_(2_6_25),buy,True,True,profit,,,,,
XAUUSD,Dee,closed,https://youtu.be/p5pgFuEAsx0?t=4185,1,LIVE__London_Open_with_Deeyana_(2_6_25),unknown,False,False,loss,,,,,
XAUUSD,Dee,opened,https://youtu.be/p5pgFuEAsx0?t=4265,1,LIVE__London_Open_with_Deeyana_(2_6_25),buy,True,False,profit,,,,,
XAUUSD,Dee,update_tp,https://youtu.be/p5pgFuEAsx0?t=4305,1,LIVE__London_Open_with_Deeyana_(2_6_25),buy,True,True,loss,,,,,
XAUUSD,Dee,closed,https://youtu.be/p5pgFuEAsx0?t=4395,1,LIVE__London_Open_with_Deeyana_(2_6_25),unknown,False,False,loss,,,,,
XTIUSD,Dee,opened,https://youtu.be/p5pgFuEAsx0?t=4480,1,LIVE__London_Open_with_Deeyana_(2_6_25),buy,True,True,profit,,,,,
XAUUSD,Dee,opened,https://youtu.be/p5pgFuEAsx0?t=4775,1,LIVE__London_Open_with_Deeyana_(2_6_25),buy,True,True,profit,,,,,
XAUUSD,Dee,closed,https://youtu.be/p5pgFuEAsx0?t=4885,1,LIVE__London_Open_with_Deeyana_(2_6_25),unknown,False,False,loss,,,,,
